GET,DDAS,Start Time,End Time,Duration,Run Type,LN2 fill?,H5 on TPC GPU,Field Cage Functional?,SCA Lower Limit,degrader angle,good data?,final beam settings?,source type,source location,Comments,
,85,,,,,,,,,,,,152Eu,2,"153Eu source, far side center of GADGET(position 2)",
,84,,,,,,,,,,,,152Eu,,"153Eu source, top center of GADGET",
,83,,,,,source,,,,,,,60Co,4,"60Co source, bottom of GADGET (position4)",
,82,,,,,source,,,,,,,60Co,4,"60Co source, bottom of GADGET (position4)",
,81,,,,,source,,,,,,,60Co,4,"60Co source, bottom of GADGET (position4)",
,80,,,,,source,,,,,,,60Co,,"GADGET far side, centerof germanium array",
,79,,,,,source,,,,,,,60Co,,"60Co source, GADGET top, 3 inch downstrem from center",
,78,,,,,,,,,,,,60Co,,,
,77,,,,,,,,,,,,60Co,,,
,76,,,,,source,,,,,,,60Co,,"source on GADGET, center, far side from Ge array",
,75,,,,,,,,,,,,60Co,,,
,74,,,,,source,,,,,,,60Co,,"Co60 top surface of GADGET, 4 inch upstream from center ",
,73,,,,,,,,,,,,60Co,,,
,72,,,,,source,,,,,,,60Co,,"Co60 H2876 on the center surface of GADGET, array closed",
,71,,,,,,,,,,,,,,,
,70,,,,,,,,,,,,,,,
,69,,,,,,,,,,,,,,,
,68,,,,,,,,,,,,,,,
,67,,,,,,,,,,,,,,,
,66,,,,,,,,,,,,,,,
,65,,,,,,,,,,,,,,,
,64,,,,,,,,,,,,,,,
,63,,,,,,,,,,,,,,,
,62,,,,,,,,,,,,,,,
,61,,,,,,,,,,,,,,,
,60,,,,,,,,,,,,,,,
,59,,,,,,,,,,,,,,,
,58,,,,,,,,,,,,,,,
,57,,,,,,,,,,,,,,,
,56,,,,,,,,,,,,,,,
,55,,,,,,,,,,,,,,,
,54,,,,,,,,,,,,,,,
