fit_window,peak energy,from decay of,known peak energy (keV),known peak energy uncertainty(keV),use for calibration?,notes,gate,bg_gate,coincidence_hist,coincidences,,,,
,3393,60Ga? + 60Cu?,,,,"2021Or01. 1972Va19 identifies gamma with energy 3393.4±0.8, but the peak height of this peak is much bigger than the 3269 peak in my data, hile  1972Va19 says this peak should be much smaller. Oshea2025 for another 60Ga reference",,,,,,,,
3415-3462,3431,60Cu?,,,"no, too small/essentially not present",shoulder on 3436 peak. 1972Va19 identifies 60Cu peak at 3428.4±0.8,,,,,,,,
,3436,?,,,,,,,,,,,,
3462-3499,3489,60Ga (escape)?,,,,escape peak from 4000 keV? This much smaller than 4000 peak.,,,,,,,,
3499-3528,3509,60Cu,,,"no, uncertain ID","1972Va19 peak at 3513±2 and similar height to their peak at 3428 which is what I see, but peaks are offset in their spectrum in difference directions relative to mine for these to peaks. I also don't see a peak at 3518, so these two peaks may not be from 60Cu. Much stronger in 60Ga runs than 59Zn.",,,,,,,,
3528-3569,3548,?,,,,,,,,,,,,
3569-3607,3586,?,,,,compton edge from 3864 at right edge of this fit window,,,,,,,,
,3594,58Cu,3595.0,0.3,yes,1972Jo01,,,,,,,,
,3602,?,,,,shoulder on 3595,,,,,,,,
3624-3649,3639,?,,,,,,,,,,,,
3647-3688,3660,?,,,,,,,,,,,,
3688-3712,3696,?,,,,,,,,,,,,
3765-3796,3781,60Ga (escape),,,,4293 escape peak? Which may itself be an escape peak from 4804.,,,,"511, 1003",,,,
3820-3835,3829,?,,,,,,,,,,,,
3835-3861,3847,60Ga,3848.3,0.7,yes,"2001Ma96, 67.3-69.2 ms half life",,,,"511,1003",,,,
3863-3917,3888,60Ga,,,,"2021Or01, coincidence w/ 1003, 45-87 ms half life",,,,"511, 1003, 1333? 1341?",,,,
3960-4053,4000,60Ga,,,,"2021Or01, 39-57 ms half life. I suspect 1003 coincidence is not real; it is not obvious in 2d coincidence spectrum and this transition doesn't show up in 1004 coincidence spectrum despite 4000 peak being stronger than 2996 peak..",,,,511,,,,
,4020,60Cu?,,,,1972Va19,,,,,,,,
4135-4232,4179,60Ga,,,,19-71 ms half life,,,,"511, 1003, 1413?",,,,
,4189,?,,,,flat decay curve,,,,,,,,
,4208,60Ga,,,,21-54ms half life. Likely escape peak from 4718.,,,,"511,1003",,,,
4232-4279,4259,?,,,,flat decay curve,,,,,,,,
4280-4408,4293,60Ga (escape),,,,half life 15-60 ms. 4804 escape peak?,,,,"511, 1003, 1028?",,,,
,4325,?,,,,,,,,,,,,
,4341,?,,,,decay curve looks flat,,,,511,,,,
,4360,60Ga (sum),4359.3,0.8,yes,3848+511. Much bigger in add back spectrum than sum. True energy from 3848+511,,,,,,,,
,4382,?,,,,decay curve looks flat,,,,511,,,,
4408-4468,4444,?,,,,,,,,,,,,
4468-4518,4501,?,,,,TODO: fit these two,,,,,,,,
,4505,?,,,,,,,,,,,,
4518-4573,4538,60Ga? 60Cu (escape)?,,,,35-93 ms half life,,,,"511, others?",,,,
4674-4739,4719,60Ga,,,,38.6-80.9 ms,,,,"511, 1003",,,,
4737-4832,4786,60Ga (escape),,,,half life 20-106 ms. Probably 511 escape peak from 5297.,,,,511,,,,
,4804,60Ga,,,,2021Or01,,,,"511, 1003",,,,
4832-4874,4852,60Ga,,,,"2021Or01, Oshea reports state at 4856 but no gammas of this energy. Much stronger in 60Ga than 59Zn runs.",,,,511?,,,,
4876-4925,4892,60Ga,,,,2021Or01,,,,511,,,,
5015-5095,5050,60Cu,5048,3,yes,,,,,511,,,,
5085-5228,5107,prompt gamma,,,,weak or not present when beam off,,,,,,,,
5230-5363,5266,?,,,,could this be the Oshea gamma at 5256±13? Very small peak that isn't clearly bigger in 60Ga runs.,5260-5275,5340-5380,,None,,,,
,5299,60Ga,,,,half life (s) =  0.0572131  -0.0298075/+0.0116908. Much stronger in 60Ga runs than 59Zn runs.,5294-5303,5331-5400,,511,,,,
5363-5500,5450,?,,,,"very small peak. ",,,,,,,,
5500-5661,5560,60Ga,,,,"half life (s) = 0.0687843±0.0288298 from fit_decay_curve((5557,5565),(0,0.095),(5568, 5604)). Much stronger in 60Ga runs.",,,"h5560 = degai.get_bg_subtracted_projection(coincidence_hist, 5561, 4, 5586, 18)",511,,,,
,5621,?,,,,not present when beam off. Present in both 59Zn and 60Ga beams.,,,,,,,,
5677-5766,5725,60Ga,,,,"actually 5723, likely the same sate as 1004 + 4719",,,,,,,,
5766-5850,5809,60Ga,,,,"Peak is much stronger in 60Ga runs than 59Zn runs. OShea2025 has 5837±12 keV gamma originating from 6842 state, which would show up in coincidence w/ 1003 if that's what this is. 39-64.6 ms half life fit w/ fit_decay_curve((5803,5812),(0,0.095),(5820, 5925)). Maybe goes with ~720 keV proton peak.

",5805-5813,5830-5850,"h5809 = degai.get_bg_subtracted_projection(coincidence_hist, 5809, 4, 5840, 10)",511,,,,
6041-6215,6132,16O*?,6129.89,0.04,yes,not present when beam off. Present in both 59Zn and 60Ga runs in similar ammounts.,,,,,,,,
